model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date,retrained
BIMBOA.MX_linreg,train,0.742,1.0012,1.0006,0.0119,0.9688,0.9688,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
BIMBOA.MX_linreg,test,2.9695,13.5966,3.6874,0.0569,-2.616,-0.3251,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
BIMBOA.MX_linreg,train,0.8087,1.1614,1.0777,0.013,0.9638,0.9638,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
BIMBOA.MX_linreg,test,1.7203,5.2141,2.2834,0.0329,-0.3867,0.3013,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
BIMBOA.MX_rf,train,0.7975,1.1732,1.0831,0.0128,0.9634,0.9634,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
BIMBOA.MX_rf,test,0.5244,0.5646,0.7514,0.0099,0.8498,0.8694,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
BIMBOA.MX_rf,train,0.7983,1.141,1.0682,0.0128,0.9644,0.9644,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
BIMBOA.MX_rf,test,0.5192,0.5682,0.7538,0.0098,0.8489,0.8725,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
BIMBOA.MX_xgb,train,0.4824,0.4166,0.6455,0.0078,0.987,0.987,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
BIMBOA.MX_xgb,test,0.47,0.4903,0.7002,0.0089,0.8696,0.8786,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
BIMBOA.MX_xgb,train,0.6949,0.8803,0.9383,0.0111,0.9726,0.9726,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
BIMBOA.MX_xgb,test,0.6068,0.7529,0.8677,0.0114,0.7998,0.8269,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
BIMBOA.MX_lgbm,train,0.5978,0.6581,0.8113,0.0096,0.9795,0.9795,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
BIMBOA.MX_lgbm,test,0.5386,0.5882,0.7669,0.0102,0.8436,0.8564,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
BIMBOA.MX_lgbm,train,0.7565,1.105,1.0512,0.0121,0.9656,0.9656,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
BIMBOA.MX_lgbm,test,0.5091,0.5274,0.7262,0.0096,0.8597,0.884,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
BIMBOA.MX_arima,train,0.9174,1.6171,1.2717,0.0147,0.9496,0.9496,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
BIMBOA.MX_arima,test,0.5121,0.5458,0.7388,0.0097,0.8548,0.8586,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
CEMEXCPO.MX_linreg,train,0.1733,0.0537,0.2318,0.0147,0.8958,0.8958,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
CEMEXCPO.MX_linreg,test,0.3341,0.158,0.3974,0.025,-0.516,0.4541,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
CEMEXCPO.MX_linreg,train,0.1872,0.0675,0.2599,0.0158,0.869,0.869,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
CEMEXCPO.MX_linreg,test,0.1323,0.0289,0.1701,0.0099,0.7224,0.7556,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
CEMEXCPO.MX_rf,train,0.1679,0.0513,0.2265,0.0142,0.9005,0.9005,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
CEMEXCPO.MX_rf,test,0.1443,0.0335,0.1831,0.0109,0.6784,0.7191,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
CEMEXCPO.MX_rf,train,0.1707,0.0523,0.2286,0.0145,0.8986,0.8986,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
CEMEXCPO.MX_rf,test,0.1352,0.0315,0.1776,0.0102,0.6972,0.7221,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
CEMEXCPO.MX_xgb,train,0.0728,0.0097,0.0986,0.0062,0.9811,0.9811,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
CEMEXCPO.MX_xgb,test,0.1887,0.0601,0.2451,0.0141,0.4236,0.553,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
CEMEXCPO.MX_xgb,train,0.1407,0.0356,0.1886,0.0119,0.931,0.931,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
CEMEXCPO.MX_xgb,test,0.1451,0.0336,0.1832,0.0109,0.6779,0.7043,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
CEMEXCPO.MX_lgbm,train,0.1182,0.0267,0.1634,0.01,0.9482,0.9482,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
CEMEXCPO.MX_lgbm,test,0.177,0.0495,0.2224,0.0133,0.5254,0.6088,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
CEMEXCPO.MX_lgbm,train,0.1627,0.0517,0.2273,0.0138,0.8998,0.8998,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
CEMEXCPO.MX_lgbm,test,0.1331,0.0295,0.1717,0.01,0.7171,0.7185,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
CEMEXCPO.MX_lstm,train,0.5247,0.3346,0.5784,0.0446,0.3509,0.8443,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
CEMEXCPO.MX_lstm,test,0.4955,0.2766,0.526,0.0374,-1.6549,0.7016,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
CEMEXCPO.MX_arima,train,0.1993,0.0754,0.2745,0.0169,0.8538,0.8538,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
CEMEXCPO.MX_arima,test,0.1309,0.0294,0.1713,0.0099,0.7182,0.7184,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
EEM_linreg,train,0.2992,0.154,0.3924,0.0069,0.9254,0.9254,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
EEM_linreg,test,0.4553,0.3491,0.5908,0.0096,0.6191,0.7174,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
EEM_linreg,train,0.3149,0.1818,0.4264,0.0073,0.9119,0.9119,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
EEM_linreg,test,0.3202,0.1616,0.402,0.0067,0.8237,0.8672,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
EEM_rf,train,0.3235,0.1975,0.4444,0.0075,0.9043,0.9043,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
EEM_rf,test,0.2919,0.145,0.3808,0.0062,0.8418,0.8612,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
EEM_rf,train,0.3319,0.1932,0.4395,0.0077,0.9064,0.9064,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
EEM_rf,test,0.2936,0.1446,0.3803,0.0062,0.8422,0.8586,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
EEM_xgb,train,0.1992,0.0721,0.2685,0.0046,0.9651,0.9651,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
EEM_xgb,test,0.3563,0.1909,0.4369,0.0075,0.7917,0.8554,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
EEM_xgb,train,0.2071,0.074,0.272,0.0048,0.9641,0.9641,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
EEM_xgb,test,0.4447,0.2921,0.5404,0.0094,0.6813,0.8224,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
EEM_lgbm,train,0.2302,0.1019,0.3192,0.0053,0.9506,0.9506,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
EEM_lgbm,test,0.3544,0.1888,0.4345,0.0075,0.794,0.8274,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
EEM_lgbm,train,0.2953,0.1714,0.414,0.0068,0.917,0.917,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
EEM_lgbm,test,0.2845,0.1336,0.3655,0.006,0.8542,0.8701,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
EEM_lstm,train,0.4915,0.4618,0.6796,0.0114,0.7762,0.8025,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
EEM_lstm,test,0.441,0.326,0.571,0.0094,0.6443,0.7156,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
EEM_arima,train,0.3766,0.28,0.5292,0.0087,0.8643,0.8643,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
EEM_arima,test,0.2597,0.1257,0.3545,0.0055,0.8629,0.8644,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GFNORTEO.MX_linreg,train,1.8478,6.0349,2.4566,0.0127,0.9095,0.9095,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GFNORTEO.MX_linreg,test,2.6742,11.0146,3.3188,0.0156,-0.435,0.1478,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GFNORTEO.MX_linreg,train,1.9661,6.8558,2.6184,0.0135,0.8971,0.8971,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GFNORTEO.MX_linreg,test,3.9124,22.4848,4.7418,0.0227,-1.9293,-0.6127,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GFNORTEO.MX_rf,train,2.1045,8.0134,2.8308,0.0144,0.8798,0.8798,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GFNORTEO.MX_rf,test,1.8714,5.4859,2.3422,0.0109,0.2853,0.308,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GFNORTEO.MX_rf,train,2.1726,7.8102,2.7947,0.0149,0.8828,0.8828,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GFNORTEO.MX_rf,test,2.1467,9.335,3.0553,0.0125,-0.2162,-0.2148,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GFNORTEO.MX_xgb,train,0.9508,1.6205,1.273,0.0065,0.9757,0.9757,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GFNORTEO.MX_xgb,test,2.4406,9.3722,3.0614,0.0141,-0.221,-0.0455,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GFNORTEO.MX_xgb,train,1.9494,6.3561,2.5211,0.0134,0.9046,0.9046,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GFNORTEO.MX_xgb,test,2.2653,9.2338,3.0387,0.0132,-0.203,-0.1937,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GFNORTEO.MX_lgbm,train,1.5452,4.3689,2.0902,0.0106,0.9345,0.9345,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GFNORTEO.MX_lgbm,test,1.9253,5.8183,2.4121,0.0112,0.242,0.2428,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GFNORTEO.MX_lgbm,train,1.9803,7.2822,2.6986,0.0136,0.8907,0.8907,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GFNORTEO.MX_lgbm,test,1.8185,5.3605,2.3153,0.0106,0.3016,0.3027,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GFNORTEO.MX_lstm,train,2.4239,11.1125,3.3335,0.0166,0.8333,0.8335,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GFNORTEO.MX_lstm,test,1.8226,5.2311,2.2872,0.0106,0.3185,0.3235,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GFNORTEO.MX_arima,train,2.4143,11.0211,3.3198,0.0165,0.8346,0.8346,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GFNORTEO.MX_arima,test,1.747,4.839,2.1998,0.0102,0.3696,0.3799,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GLD_linreg,train,1.7541,4.8342,2.1987,0.0069,0.9928,0.9928,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GLD_linreg,test,4.9031,36.5187,6.0431,0.016,-1.2455,-0.1705,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GLD_linreg,train,1.9431,5.9842,2.4463,0.0077,0.9911,0.9911,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GLD_linreg,test,3.0635,17.7881,4.2176,0.01,-0.0938,0.1113,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GLD_rf,train,1.8449,5.6996,2.3874,0.0073,0.9915,0.9915,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GLD_rf,test,3.2266,15.1642,3.8941,0.0105,0.0676,0.3298,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GLD_rf,train,1.8408,5.7118,2.3899,0.0073,0.9915,0.9915,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GLD_rf,test,3.4731,18.028,4.2459,0.0113,-0.1085,0.3317,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GLD_xgb,train,1.192,2.374,1.5408,0.0048,0.9965,0.9965,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GLD_xgb,test,3.6685,18.8652,4.3434,0.0119,-0.16,0.2906,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GLD_xgb,train,1.6355,4.4418,2.1076,0.0065,0.9934,0.9934,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GLD_xgb,test,3.2327,15.5998,3.9497,0.0105,0.0408,0.3518,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GLD_lgbm,train,1.4591,3.6655,1.9145,0.0058,0.9946,0.9946,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GLD_lgbm,test,2.4349,10.3017,3.2096,0.0079,0.3666,0.3753,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GLD_lgbm,train,1.7238,5.286,2.2991,0.0068,0.9922,0.9922,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GLD_lgbm,test,2.5709,10.6611,3.2651,0.0084,0.3445,0.3607,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
GLD_lstm,train,2.1628,8.6378,2.939,0.0085,0.9872,0.9872,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GLD_lstm,test,2.6495,10.7426,3.2776,0.0086,0.3394,0.3395,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
GLD_arima,train,2.1571,8.6344,2.9384,0.0084,0.9872,0.9872,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
